local authority: district / unitary (as of April 2023),mnemonic,Total_population,No qualifications,Level 1 and entry level qualifications,Level 2 qualifications,Apprenticeship,Level 3 qualifications,Level 4 qualifications or above,Other qualifications,,,,,,,,
Stafford,E07000197,136870,277.47,165.96,247.04,99.42,306.07,617.53,46.69,,,,,,,,
Staffordshire Moorlands,E07000198,95851,251.34,121.46,177.25,88.77,224.50,355.46,33.91,,,,,,,,
Stevenage,E07000243,89501,187.66,142.73,168.99,59.43,189.09,326.83,28.89,,,,,,,,
Stockport,E08000007,294776,574.48,338.22,501.03,215.70,597.44,1390.32,84.40,,,,,,,,
Stockton-on-Tees,E06000004,196594,456.12,237.41,356.41,163.68,449.35,722.70,62.33,,,,,,,,
Stoke-on-Trent,E06000021,258375,826.59,349.73,471.64,219.13,537.25,696.36,89.19,,,,,,,,
Stratford-on-Avon,E07000221,134727,251.44,152.52,234.79,87.75,287.11,688.72,42.73,,,,,,,,
Stroud,E07000082,121103,209.41,139.87,215.02,87.35,265.20,600.28,35.15,,,,,,,,
Sunderland,E08000024,274166,800.44,380.03,519.82,252.72,599.24,860.33,89.84,,,,,,,,
Surrey Heath,E07000214,90460,149.40,109.63,163.56,51.53,191.75,448.19,29.06,,,,,,,,
Sutton,E09000029,209640,389.20,237.78,332.04,112.80,400.73,1020.79,73.11,,,,,,,,
Swale,E07000113,151678,415.57,232.88,293.97,118.75,325.76,447.91,55.25,,,,,,,,
Swansea,W06000011,238500,577.94,240.94,423.91,178.55,558.59,1004.46,81.00,,,,,,,,
Swindon,E06000030,233414,502.42,377.01,468.93,169.61,473.93,809.02,98.52,,,,,,,,
Tameside,E08000008,231063,626.47,322.42,434.57,197.93,508.88,700.48,77.46,,,,,,,,
Tamworth,E07000199,78646,215.33,128.34,166.05,54.15,181.70,216.17,26.55,,,,,,,,
