local authority: district / unitary (as of April 2023),mnemonic,Total,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,,,,,,,,,,,,,
Enfield,E09000010,329986,696.81,194.54,110.59,236.87,12.69,12.21,723.83,48.74,31.60,127.24,33.73,,,,,,,,,,,,,
Epping Forest,E07000072,134981,389.96,73.50,23.83,13.22,7.24,4.60,418.53,26.69,6.24,43.46,12.05,,,,,,,,,,,,,
Epsom and Ewell,E07000208,80939,277.78,5.38,33.22,13.15,2.62,5.45,211.26,14.35,10.21,39.30,5.61,,,,,,,,,,,,,
Erewash,E07000036,112902,210.81,1.69,3.73,33.42,3.35,4.88,469.19,37.03,18.82,61.20,7.47,,,,,,,,,,,,,
Exeter,E07000041,130712,283.28,0.54,8.18,43.97,3.22,7.31,343.78,33.71,43.70,148.78,8.41,,,,,,,,,,,,,
Fareham,E07000087,114503,297.55,0.50,9.28,7.76,2.77,5.16,439.71,27.02,18.59,43.97,9.57,,,,,,,,,,,,,
Fenland,E07000010,102457,146.61,0.40,4.55,8.18,2.00,3.38,436.36,41.95,22.57,56.61,7.24,,,,,,,,,,,,,
Flintshire,W06000005,154965,252.05,0.42,4.00,25.93,5.52,5.65,703.53,58.39,17.44,61.91,8.85,,,,,,,,,,,,,
Folkestone and Hythe,E07000112,109754,213.33,0.62,14.44,20.43,3.97,3.07,370.61,29.93,8.34,67.55,8.55,,,,,,,,,,,,,
Forest of Dean,E07000080,87006,173.98,0.15,1.47,7.58,0.53,3.11,362.19,25.41,4.43,35.40,5.28,,,,,,,,,,,,,
Fylde,E07000119,81380,176.01,0.48,2.73,12.29,2.46,1.80,283.70,20.33,8.29,38.70,6.55,,,,,,,,,,,,,
Gateshead,E08000037,196144,362.94,23.67,6.06,111.56,11.99,3.61,634.53,65.83,16.92,103.44,15.34,,,,,,,,,,,,,
Gedling,E07000173,117258,266.78,1.04,2.68,55.34,3.72,3.28,438.33,30.04,11.57,50.03,7.67,,,,,,,,,,,,,
Gloucester,E07000081,132409,246.46,0.37,3.33,43.16,3.01,6.48,532.03,48.97,33.68,91.55,7.61,,,,,,,,,,,,,
Gosport,E07000088,81955,137.34,0.36,3.22,17.48,3.45,7.53,310.01,24.40,37.69,44.56,10.16,,,,,,,,,,,,,
Gravesham,E07000109,106899,201.98,3.14,41.13,25.80,3.47,5.33,384.20,40.14,6.27,50.57,8.89,,,,,,,,,,,,,
Great Yarmouth,E07000145,99743,105.55,0.31,1.92,28.00,3.24,3.98,354.21,38.55,19.77,66.84,15.01,,,,,,,,,,,,,
Greenwich,E09000011,289067,897.93,211.19,191.74,237.32,9.84,13.66,443.44,33.46,41.64,108.46,25.72,,,,,,,,,,,,,
Guildford,E07000209,143646,477.39,1.43,25.05,19.58,2.59,5.56,399.62,28.60,18.39,91.19,11.59,,,,,,,,,,,,,
Gwynedd,W06000002,117397,189.92,0.37,3.07,19.61,1.94,2.09,454.49,35.14,8.24,81.99,5.96,,,,,,,,,,,,,
Hackney,E09000012,259148,1035.59,158.63,77.32,216.82,14.90,10.41,180.43,13.18,155.10,196.72,21.71,,,,,,,,,,,,,
Halton,E06000006,128475,225.39,0.40,7.28,29.68,7.62,3.59,492.35,50.06,18.31,66.56,8.27,,,,,,,,,,,,,
Hammersmith and Fulham,E09000013,183161,795.06,179.37,36.81,116.26,9.22,15.40,120.55,7.96,76.15,146.23,16.70,,,,,,,,,,,,,
Harborough,E07000131,97631,270.72,0.33,4.17,6.27,1.15,1.58,388.99,21.26,8.29,47.36,5.48,,,,,,,,,,,,,
Haringey,E09000014,264234,863.98,335.09,81.69,237.67,9.70,17.15,285.62,22.57,80.96,122.70,24.77,,,,,,,,,,,,,
Harlow,E07000073,93334,149.21,11.67,15.17,17.17,8.49,4.06,378.44,38.86,15.26,65.77,8.29,,,,,,,,,,,,,
Harrow,E09000015,261203,699.88,241.76,73.14,134.37,7.99,9.14,587.45,49.93,14.18,95.22,24.09,,,,,,,,,,,,,
Hart,E07000089,99409,349.81,0.71,10.30,3.52,1.05,2.90,339.94,18.50,9.13,39.27,6.40,,,,,,,,,,,,,
Hartlepool,E06000001,92334,101.79,0.51,4.17,19.23,9.90,1.13,347.78,35.26,8.69,48.51,7.89,,,,,,,,,,,,,
Hastings,E07000062,91006,169.54,0.68,16.55,18.13,10.09,4.55,294.24,33.84,8.30,69.64,8.10,,,,,,,,,,,,,
Havant,E07000090,124207,223.29,0.28,9.67,24.09,6.32,6.29,482.81,43.80,18.30,49.81,8.63,,,,,,,,,,,,,
Havering,E09000016,262057,645.33,129.56,135.11,107.66,11.45,9.43,710.95,52.01,13.14,94.52,24.01,,,,,,,,,,,,,
"Herefordshire, County of",E06000019,187039,350.41,0.48,4.20,8.60,3.84,6.26,742.65,56.39,39.80,145.49,13.11,,,,,,,,,,,,,
Hertsmere,E07000098,107822,326.13,20.30,30.97,23.38,4.17,3.63,327.89,20.36,5.53,46.07,9.06,,,,,,,,,,,,,
High Peak,E07000037,90930,200.99,0.48,11.71,9.48,2.80,1.91,359.06,23.80,5.83,69.73,5.41,,,,,,,,,,,,,
Hillingdon,E09000017,305916,700.16,145.04,57.54,206.93,10.38,11.96,858.61,57.49,25.21,111.95,27.14,,,,,,,,,,,,,
Hinckley and Bosworth,E07000132,113640,258.20,0.43,2.60,10.88,1.75,2.93,486.48,30.18,12.77,52.97,6.65,,,,,,,,,,,,,
Horsham,E07000227,146776,455.75,0.84,19.13,9.67,1.55,4.04,505.76,31.81,10.88,69.31,9.36,,,,,,,,,,,,,
Hounslow,E09000018,288181,697.89,155.64,78.80,287.20,9.84,18.58,631.65,47.14,62.84,133.45,27.38,,,,,,,,,,,,,
Huntingdonshire,E07000011,180832,494.21,0.79,15.57,17.32,4.86,5.44,684.35,48.62,36.47,97.31,10.95,,,,,,,,,,,,,
Hyndburn,E07000120,82236,97.74,0.12,3.45,14.87,15.38,2.29,328.63,33.31,4.14,46.11,5.90,,,,,,,,,,,,,
Ipswich,E07000202,139644,258.17,0.53,8.66,38.39,7.14,6.99,497.82,59.54,33.17,117.33,10.71,,,,,,,,,,,,,
Isle of Anglesey,W06000001,68875,101.83,0.09,1.84,7.17,1.43,1.78,277.55,20.98,4.32,31.06,4.35,,,,,,,,,,,,,
Isle of Wight,E06000046,140460,200.20,0.60,3.90,35.49,1.29,9.62,460.19,32.53,19.75,114.71,18.89,,,,,,,,,,,,,
Isles of Scilly,E06000053,2058,4.99,0.00,0.02,0.11,0.02,0.14,4.37,0.29,1.97,4.79,0.59,,,,,,,,,,,,,
Islington,E09000019,216587,999.74,171.95,47.45,144.79,10.67,9.61,121.94,8.55,95.02,153.72,17.75,,,,,,,,,,,,,
Kensington and Chelsea,E09000020,143376,619.86,103.17,18.03,62.85,15.54,8.80,82.59,7.54,36.83,105.66,14.90,,,,,,,,,,,,,
King's Lynn and West Norfolk,E07000146,154318,219.41,0.76,8.82,12.46,2.65,5.28,643.39,51.95,38.03,78.73,10.95,,,,,,,,,,,,,
"Kingston upon Hull, City of",E06000010,267010,240.66,0.64,6.41,137.93,23.19,15.01,948.72,141.04,126.56,165.40,19.29,,,,,,,,,,,,,
Kingston upon Thames,E09000021,168064,608.10,22.57,76.63,85.50,3.53,10.92,326.91,21.63,36.86,98.59,12.43,,,,,,,,,,,,,
Kirklees,E08000034,433222,773.20,1.56,32.46,107.83,52.72,9.36,1564.88,143.31,21.35,208.42,29.79,,,,,,,,,,,,,
Knowsley,E08000011,154523,230.53,0.79,27.24,72.12,20.76,2.60,549.09,66.96,18.41,75.60,12.56,,,,,,,,,,,,,
Lambeth,E09000022,317662,1421.75,290.38,132.17,327.28,12.53,22.68,263.28,15.69,150.45,165.97,30.13,,,,,,,,,,,,,
Lancaster,E07000121,142932,239.05,0.60,7.10,32.44,4.71,4.79,489.67,47.42,26.21,104.87,9.88,,,,,,,,,,,,,
Leeds,E08000035,811950,1961.13,3.86,61.20,420.65,83.07,14.14,2420.36,233.16,80.41,461.97,55.26,,,,,,,,,,,,,
Leicester,E06000016,368569,457.50,2.25,11.70,167.04,44.56,7.27,1041.81,212.78,84.74,334.47,36.22,,,,,,,,,,,,,
Lewes,E07000063,99912,243.44,0.57,15.93,31.57,1.53,3.64,304.52,20.48,9.34,51.90,6.60,,,,,,,,,,,,,
Lewisham,E09000023,300554,1084.12,166.93,223.20,265.67,9.73,15.66,382.81,23.69,86.28,126.20,28.09,,,,,,,,,,,,,
Lichfield,E07000194,106439,247.25,0.43,7.96,7.62,2.00,2.45,429.33,28.23,7.98,42.29,6.40,,,,,,,,,,,,,
Lincoln,E07000138,103813,146.42,0.20,3.25,26.76,7.11,3.86,339.85,49.62,31.81,106.54,8.38,,,,,,,,,,,,,
Liverpool,E08000012,486093,832.28,8.34,79.60,346.83,55.88,9.17,1268.86,157.40,75.32,313.48,40.42,,,,,,,,,,,,,
Luton,E06000032,225259,328.43,5.17,38.87,104.08,28.13,4.09,738.08,104.09,17.09,138.74,22.67,,,,,,,,,,,,,
Maidstone,E07000110,175778,415.85,1.67,34.69,24.52,4.01,4.77,671.22,52.89,12.39,102.73,13.90,,,,,,,,,,,,,
Maldon,E07000074,66208,151.66,0.85,9.88,3.78,0.88,1.72,261.30,15.46,4.52,29.40,4.79,,,,,,,,,,,,,
Malvern Hills,E07000235,79483,193.39,0.23,4.28,2.65,0.59,2.31,288.94,17.09,6.60,33.84,4.76,,,,,,,,,,,,,
Manchester,E08000003,551943,1145.89,95.31,44.12,366.69,56.61,7.16,1276.26,127.30,113.17,350.86,46.26,,,,,,,,,,,,,
Mansfield,E07000174,110486,135.67,0.46,3.14,28.30,9.40,3.66,487.06,59.51,9.20,51.62,7.81,,,,,,,,,,,,,
Medway,E06000035,279771,533.97,4.85,82.71,47.87,12.63,12.50,1076.80,97.62,14.59,147.47,23.39,,,,,,,,,,,,,
Melton,E07000133,51751,112.49,0.08,1.86,3.14,0.70,1.44,214.77,14.13,6.51,36.39,3.01,,,,,,,,,,,,,
Merthyr Tydfil,W06000024,58847,72.29,0.17,4.31,11.53,5.07,0.71,240.86,31.60,1.25,26.06,3.33,,,,,,,,,,,,,
Merton,E09000024,215188,750.14,188.37,82.00,143.32,5.96,17.85,350.41,25.25,50.15,103.54,19.18,,,,,,,,,,,,,
Mid Devon,E07000042,82848,185.34,0.15,2.15,8.97,0.99,3.01,330.09,24.14,7.37,55.85,6.01,,,,,,,,,,,,,
Mid Suffolk,E07000203,102702,240.55,0.43,6.89,2.65,1.01,3.35,440.24,22.68,11.73,38.65,6.85,,,,,,,,,,,,,
Mid Sussex,E07000228,152570,485.13,1.08,39.49,9.65,2.91,4.35,499.19,33.53,9.71,92.32,8.92,,,,,,,,,,,,,
Middlesbrough,E06000002,143922,146.84,0.43,7.27,35.08,31.76,1.53,476.32,62.90,17.37,79.46,15.38,,,,,,,,,,,,,
Milton Keynes,E06000042,287057,808.68,3.53,29.67,70.23,44.25,6.94,971.59,108.22,43.52,112.91,21.78,,,,,,,,,,,,,
Mole Valley,E07000210,87386,300.23,1.10,19.40,4.52,1.56,3.38,258.08,16.30,6.97,38.42,6.03,,,,,,,,,,,,,
Monmouthshire,W06000021,92961,227.86,0.46,3.69,3.13,1.53,2.18,347.53,20.90,5.16,45.92,5.21,,,,,,,,,,,,,
Neath Port Talbot,W06000012,142290,193.10,0.31,6.89,15.12,4.24,3.87,578.18,47.70,8.49,51.03,8.01,,,,,,,,,,,,,
New Forest,E07000091,175778,371.20,0.43,6.94,10.98,2.17,6.27,663.78,42.78,27.79,73.85,13.09,,,,,,,,,,,,,
Newark and Sherwood,E07000175,122954,229.07,0.51,4.45,8.83,2.49,3.21,492.57,39.46,26.14,70.06,8.06,,,,,,,,,,,,,
Newcastle upon Tyne,E08000021,300131,581.42,36.21,12.30,184.16,25.31,3.64,751.20,84.98,44.67,190.93,22.94,,,,,,,,,,,,,
Newcastle-under-Lyme,E07000195,123306,201.54,0.19,3.39,16.16,17.03,3.97,510.06,52.12,9.39,58.07,6.26,,,,,,,,,,,,,
Newham,E09000025,351039,739.57,594.47,217.07,229.62,12.43,16.47,439.20,36.76,58.21,152.11,36.31,,,,,,,,,,,,,
Newport,W06000022,159594,315.82,0.34,11.09,31.05,16.93,3.87,586.70,62.59,15.01,74.12,10.16,,,,,,,,,,,,,
North Devon,E07000043,98608,169.75,0.25,1.10,15.14,1.84,4.15,365.45,28.00,17.01,90.38,6.62,,,,,,,,,,,,,
North East Derbyshire,E07000038,102000,179.34,0.57,2.28,18.33,3.04,3.11,438.41,31.11,4.60,34.77,5.84,,,,,,,,,,,,,
North East Lincolnshire,E06000012,156966,148.81,0.29,2.43,35.20,8.78,5.56,637.98,62.59,53.03,98.53,13.45,,,,,,,,,,,,,
North Hertfordshire,E07000099,133211,444.47,1.75,37.83,7.08,2.46,3.27,419.96,31.93,13.56,70.75,7.37,,,,,,,,,,,,,
North Kesteven,E07000139,118075,238.68,0.40,4.65,8.01,1.49,4.14,510.62,31.76,19.91,53.74,8.01,,,,,,,,,,,,,
North Lincolnshire,E06000013,169674,205.70,0.33,2.03,16.05,3.61,5.86,730.89,66.08,35.74,102.51,12.10,,,,,,,,,,,,,
North Norfolk,E07000147,102988,156.57,0.56,4.48,5.69,1.64,4.15,369.78,21.66,12.52,59.88,8.44,,,,,,,,,,,,,
North Northamptonshire,E06000061,359525,653.20,1.66,14.27,38.25,26.94,9.36,1579.08,167.04,45.01,210.64,25.49,,,,,,,,,,,,,
