Total_deaths,Asian,Black,Mixed,White,Other_ethnics,No_religion,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,No_answer,No_qualifications,Level1_entry_level_qualifications,Level2_qualifications,Apprenticeship,Level3_qualifications,Level4_qualifications_above,Remote_jobs,Underground_metro_light.rail_tram,Train,Bus_minibus_coach,Taxi,Motorcycle_scooter_moped,Driving,Passenger_in_a_car_van,Bicycle,On_foot,Other_methods,Children,Pre_Teens,Teenagers,Adults,Middle_Aged,Elderly
2.74,42.06,9.39,31.76,4134.8,15.4,1461.09,2477,10.91,7.36,1.5,21.44,1.01,238.34,722.65,360.02,499.85,263.34,622.17,974.02,444.98,0.77,10.95,56.45,6.38,7.39,1109.49,93.85,30.5,199.75,18.73,100.43,65.67,38.7,165.25,172.43,457.51
2.01,138.63,68.34,81.58,2085.33,28.72,986.58,1114.77,11.25,39.46,13.88,75.43,4.82,144.86,281.45,193.64,272.59,91.84,307.43,724.2,468.28,4.32,25.41,16.14,6.04,4.68,531.04,38.16,9.37,81.79,10.77,125.79,76.03,40.08,174.65,211.9,371.55
2.26,45.95,10.86,22.81,1575.98,14.44,662.77,870.59,5.33,7.02,0.56,28.65,6.86,82.05,262.94,128.22,197.27,96.29,250.07,395.32,185.32,0.28,6.24,21.77,11.15,1.89,394.86,42.48,14.97,77.18,7.58,109.68,72.99,42.16,174.14,186.65,414.39
2.44,178.37,190.28,56.36,1346.86,36.95,659.69,870.25,10.71,68.68,1.41,63.52,31.2,96.13,228,155.05,214.57,78.32,235.29,454.89,282.23,7.36,70.85,30.41,6.1,6.65,410.43,29.5,8.24,50.54,9.03,141.75,81.42,40.72,200.53,224.49,311.1
2.71,633.66,162.39,148.14,2988.07,116.94,1481.7,1626.24,12.83,47.48,2.32,451.41,151.24,255.89,652.87,334.42,429.24,202.4,561.3,962.04,422.33,1.29,8.32,92.68,31.99,8.47,897.05,103.88,45.8,171.64,16.81,122.89,76.74,50.79,211.43,195.68,342.48
2.33,8.03,2.62,11.2,1083.55,2.87,413.47,615.49,3.21,1.04,0.84,4.01,0.79,64.39,148.47,82.13,125.82,49.16,148.54,370.88,176.24,0.25,1.74,4.9,0.82,1.44,262.94,16.11,4.68,41.13,4.54,82.99,63.46,38.4,124.45,161.16,529.52
2.59,140.77,57.97,71.31,4445.68,57.6,1900.09,2428.42,12.72,20.05,1.8,106.87,21.55,255.16,957.52,444.96,587.28,259.73,644.4,882.01,395.11,0.95,18.14,97.42,24.21,6.71,1236.66,143.97,38.34,151.77,22.5,113.8,71.79,41.02,189.07,184.34,399.97
1.42,66.7,16.76,68.73,5707.7,20.79,2359.01,3031.53,24.99,11.06,7.02,24.2,1.81,384.46,787.55,519.76,747.78,339.95,881.28,1569.37,734.3,1.6,11.33,29.25,5.78,15.63,1401.66,87.63,46.06,239.04,27.03,87.43,64.52,39.48,132.73,154.85,520.99
2.91,37.21,12.97,27.17,1710.68,15.48,763.82,894.98,9.16,11.2,1.75,11.37,1.13,100.04,289.8,166.41,230.92,88.03,266.75,402.05,190.42,0.81,15.85,17.04,4.09,4.09,431.16,36.31,10.44,69.13,9.64,104.48,69.7,39.79,161.77,169.21,455.06
2.23,419.03,126.57,142.39,4254.2,69.47,1803.4,2470.46,12.36,33.98,1.29,309.51,82.36,275.64,938.37,441.15,611.65,243.28,698.16,1016.14,486.99,1.95,29.27,94.89,22.84,8.72,1321.29,110.07,19.57,125.91,19.35,117.32,71.25,43.37,181.83,183.13,403.1
2.02,1723.41,611.82,296.85,2455,600.49,1088.09,2152.49,62.02,437.45,16.13,1067.55,441.4,380.08,819.95,369.05,425.44,155.11,587.48,2029.23,978.16,314.79,89.67,291.88,11.79,23.72,665.27,47.75,77.87,174.07,36.64,119.2,76.23,47.57,224.19,236.49,296.34
1.11,26.15,10.92,29.17,1284.52,8.91,583.79,659.57,5.04,5.05,1.91,8.55,1.94,86.14,183.18,108.34,149.29,67.93,181.82,387.42,241.78,0.25,13.85,4.96,1.63,2.68,352.22,22.82,12.58,34.25,5.42,111.55,74.55,39.08,157.63,204.99,412.19
